Country;Alcoholic Beverages;Animal Products;Animal fats;Aquatic Products, Other;Cereals - Excluding Beer;Eggs;Fish, Seafood;Fruits - Excluding Wine;Meat;Miscellaneous;Milk - Excluding Butter;Offals;Oilcrops;Pulses;Spices;Starchy Roots;Stimulants;Sugar Crops;Sugar & Sweeteners;Treenuts;Vegetal Products;Vegetable Oils;Vegetables;Obesity;Undernourished;Confirmed;Deaths;Recovered;Active;Population;Unit (all except Population);
North Macedonia;0;19.642;71.263;0;19.013;0.7305;0.2371;0.4112;65.409;0.0435;48.476;0.15;20.174;0.1355;0.4886;0.0774;17.078;0;0;11.708;303.628;216.642;0.745;23.9;3.2;0.292589027911453;0.0137632338787296;0.111405197305101;0.167420596727623;2078000;%;
Norway;0;272.211;64.445;0;19.601;10.645;15.545;0.4055;106.992;0.3244;74.043;0.0541;17.032;0.0912;0.0473;0.0473;16.796;0;0;0.8888;227.806;154.642;0.1656;25;<2.5;0.165668849391955;0.00465855940130964;0.152254443405051;0.00875584658559401;5345000;%;
Oman;0;236.146;23.712;0;37.744;14.422;0.929;0.7926;90.171;0.0325;96.407;0.2144;11.174;0.1689;0.7276;0.039;10.979;0;0;0.6107;263.821;174.495;0.5782;22.9;6.8;0.812566560170394;0.00347177848775293;0.451544195953142;0.357550585729499;4695000;%;
Pakistan;0;248.245;89.701;0;42.124;0.6203;0.0818;0.1227;34.967;0.0068;115.125;0.1431;10.906;0.2726;0.2249;0.0341;0.0204;0.0613;0;0.1909;251.789;188.603;0.075;7.8;20.3;0.0953579756655046;0.00192413363193498;0.0440546718075405;0.0493791702260291;216565000;%;
Panama;0;259.557;91.864;0;38.355;0.8991;0.8614;0.5722;91.046;0.132;57.281;0.1823;14.273;0.1509;0.0377;0.0566;10.375;0;0;0.4339;240.317;162.412;0.1258;22.5;10;0.751031050011851;0.014316188670301;0.366674567433041;0.370040293908509;4219000;%;
Paraguay;0;198.084;38.811;0;49.807;15.622;0.1742;0.3974;102.335;0.0272;37.069;0.2558;20.576;0.2123;0.0218;0.5552;0.5334;0;0;0.0163;301.889;212.672;0.1198;19;10.7;0.0297233091112353;0.000209614309670207;0.0148826159865847;0.0146310788149804;7156000;%;
Peru;0;180.402;11.055;0;55.879;21.206;19.497;16.382;68.241;0.0302;5.608;0.4322;25.628;0.603;0.0704;0.6834;0.4523;0;0;0.2312;319.598;196.482;0.4523;19.1;9.7;0.879201409647274;0.029316258141657;0.528611434504893;0.321273717000724;31781000;%;
Philippines;0;297.607;73.714;0;34.748;10.544;16.045;0.7243;18.887;0.0275;0.5684;0.2751;22.371;0.055;0.0642;0.22;0.3576;0;0.0183;0.7701;202.439;119.281;0.3576;6;13.3;0.0327931777611292;0.00115060536270892;0.00895881313761943;0.0226837592608008;108117000;%;
Poland;0;32.746;123.719;0;16.183;0.7141;0.4851;0.2057;133.072;0;5.86;0.0078;0.4967;0.031;0.0427;0.1087;0.0737;0;0;0.4385;17.254;139.747;0.2639;25.6;<2.5;0.0882994791666667;0.00374479166666667;0.0535104166666667;0.0310442708333333;38400000;%;
Portugal;0;264.556;95.983;0;21.808;0.7993;10.267;0.2825;103.459;0.0138;45.442;0.1378;0.4203;0.0689;0.0413;0.0586;1.354;0;0;0.7648;235.444;180.803;0.2825;23.2;<2.5;0.405550686532282;0.0152303048008569;0.263569967864446;0.126750413866978;10269000;%;
Republic of Moldova;0;265.244;68.551;0;2.557;15.517;0.6921;0.2987;97.764;0.0656;75.326;0.1238;0.2841;0.0291;0.0146;0.0874;0.8305;0;0;0.1093;23.472;188.388;0.357;20.1;NA;0.458650860852385;0.0149590742308778;0.256308213378493;0.187383573243014;3543000;%;
Romania;0;274.359;68.987;0;25.519;15.914;0.1994;0.293;79.894;0.0366;106.349;0.1221;0.5495;0.0407;0.4965;0.1099;0.8506;0;0;0.6797;22.56;16.512;0.4477;24.5;<2.5;0.135907236196477;0.00832601621817055;0.0971747327100873;0.0304064872682196;19361000;%;
